"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
25.8,0.99,3,2025-05-03,78,"15",1,"0-64"
2.2,0.01,3,2025-05-03,78,"15",1,"65-130"
2.3,0.025,3,2025-05-03,78,"15",1,"65-130"
2.8,0.05,3,2025-05-03,78,"15",1,"65-130"
3.5,0.1,3,2025-05-03,78,"15",1,"65-130"
6.4,0.25,3,2025-05-03,78,"15",1,"65-130"
8.4,0.5,3,2025-05-03,78,"15",1,"65-130"
12.4,0.75,3,2025-05-03,78,"15",1,"65-130"
16.1,0.9,3,2025-05-03,78,"15",1,"65-130"
17.1,0.95,3,2025-05-03,78,"15",1,"65-130"
18.2,0.975,3,2025-05-03,78,"15",1,"65-130"
19.5,0.99,3,2025-05-03,78,"15",1,"65-130"
11.86,0.01,6,2025-05-03,78,"15",1,"0-130"
14.3325,0.025,6,2025-05-03,78,"15",1,"0-130"
15,0.05,6,2025-05-03,78,"15",1,"0-130"
16.91,0.1,6,2025-05-03,78,"15",1,"0-130"
18.775,0.25,6,2025-05-03,78,"15",1,"0-130"
41.1,0.5,6,2025-05-03,78,"15",1,"0-130"
51.3,0.75,6,2025-05-03,78,"15",1,"0-130"
59.37,0.9,6,2025-05-03,78,"15",1,"0-130"
90.35,0.95,6,2025-05-03,78,"15",1,"0-130"
119.44,0.975,6,2025-05-03,78,"15",1,"0-130"
224.763,0.99,6,2025-05-03,78,"15",1,"0-130"
5.78,0.01,6,2025-05-03,78,"15",1,"0-64"
6.99,0.025,6,2025-05-03,78,"15",1,"0-64"
7.3,0.05,6,2025-05-03,78,"15",1,"0-64"
8.16,0.1,6,2025-05-03,78,"15",1,"0-64"
9.1,0.25,6,2025-05-03,78,"15",1,"0-64"
19.95,0.5,6,2025-05-03,78,"15",1,"0-64"
24.95,0.75,6,2025-05-03,78,"15",1,"0-64"
28.84,0.9,6,2025-05-03,78,"15",1,"0-64"
43.965,0.95,6,2025-05-03,78,"15",1,"0-64"
58.065,0.975,6,2025-05-03,78,"15",1,"0-64"
109.254,0.99,6,2025-05-03,78,"15",1,"0-64"
6.08,0.01,6,2025-05-03,78,"15",1,"65-130"
7.39,0.025,6,2025-05-03,78,"15",1,"65-130"
7.7,0.05,6,2025-05-03,78,"15",1,"65-130"
8.66,0.1,6,2025-05-03,78,"15",1,"65-130"
9.675,0.25,6,2025-05-03,78,"15",1,"65-130"
21.15,0.5,6,2025-05-03,78,"15",1,"65-130"
26.35,0.75,6,2025-05-03,78,"15",1,"65-130"
30.54,0.9,6,2025-05-03,78,"15",1,"65-130"
46.48,0.95,6,2025-05-03,78,"15",1,"65-130"
61.375,0.975,6,2025-05-03,78,"15",1,"65-130"
115.509,0.99,6,2025-05-03,78,"15",1,"65-130"
8.2,0.01,7,2025-05-03,78,"15",1,"0-130"
8.6,0.025,7,2025-05-03,78,"15",1,"0-130"
8.95,0.05,7,2025-05-03,78,"15",1,"0-130"
10.39,0.1,7,2025-05-03,78,"15",1,"0-130"
16.3875,0.25,7,2025-05-03,78,"15",1,"0-130"
22.35,0.5,7,2025-05-03,78,"15",1,"0-130"
28.95,0.75,7,2025-05-03,78,"15",1,"0-130"
34.85,0.9,7,2025-05-03,78,"15",1,"0-130"
36.6625,0.95,7,2025-05-03,78,"15",1,"0-130"
39.37625,0.975,7,2025-05-03,78,"15",1,"0-130"
42.9,0.99,7,2025-05-03,78,"15",1,"0-130"
2.694,0.01,7,2025-05-03,78,"15",1,"0-64"
3,0.025,7,2025-05-03,78,"15",1,"0-64"
3.5,0.05,7,2025-05-03,78,"15",1,"0-64"
4.545,0.1,7,2025-05-03,78,"15",1,"0-64"
6.15,0.25,7,2025-05-03,78,"15",1,"0-64"
10.175,0.5,7,2025-05-03,78,"15",1,"0-64"
13.1125,0.75,7,2025-05-03,78,"15",1,"0-64"
14.7,0.9,7,2025-05-03,78,"15",1,"0-64"
16.1,0.95,7,2025-05-03,78,"15",1,"0-64"
16.7525,0.975,7,2025-05-03,78,"15",1,"0-64"
18.1565,0.99,7,2025-05-03,78,"15",1,"0-64"
4.9985,0.01,7,2025-05-03,78,"15",1,"65-130"
5.25,0.025,7,2025-05-03,78,"15",1,"65-130"
5.45,0.05,7,2025-05-03,78,"15",1,"65-130"
6.85,0.1,7,2025-05-03,78,"15",1,"65-130"
8.3375,0.25,7,2025-05-03,78,"15",1,"65-130"
12.2,0.5,7,2025-05-03,78,"15",1,"65-130"
15.7,0.75,7,2025-05-03,78,"15",1,"65-130"
19.05,0.9,7,2025-05-03,78,"15",1,"65-130"
