"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
3.9,0.05,3,2025-05-03,78,"38",1,"0-130"
4.8,0.1,3,2025-05-03,78,"38",1,"0-130"
6.3,0.25,3,2025-05-03,78,"38",1,"0-130"
8.8,0.5,3,2025-05-03,78,"38",1,"0-130"
13.5,0.75,3,2025-05-03,78,"38",1,"0-130"
17.4,0.9,3,2025-05-03,78,"38",1,"0-130"
21.8,0.95,3,2025-05-03,78,"38",1,"0-130"
22.7,0.975,3,2025-05-03,78,"38",1,"0-130"
24.8,0.99,3,2025-05-03,78,"38",1,"0-130"
2.3,0.01,3,2025-05-03,78,"38",1,"0-64"
2.4,0.025,3,2025-05-03,78,"38",1,"0-64"
2.7,0.05,3,2025-05-03,78,"38",1,"0-64"
3.4,0.1,3,2025-05-03,78,"38",1,"0-64"
4.3,0.25,3,2025-05-03,78,"38",1,"0-64"
5.9,0.5,3,2025-05-03,78,"38",1,"0-64"
8.4,0.75,3,2025-05-03,78,"38",1,"0-64"
11.6,0.9,3,2025-05-03,78,"38",1,"0-64"
13.2,0.95,3,2025-05-03,78,"38",1,"0-64"
13.8,0.975,3,2025-05-03,78,"38",1,"0-64"
15.5,0.99,3,2025-05-03,78,"38",1,"0-64"
0.8,0.01,3,2025-05-03,78,"38",1,"65-130"
1,0.025,3,2025-05-03,78,"38",1,"65-130"
1.2,0.05,3,2025-05-03,78,"38",1,"65-130"
1.4,0.1,3,2025-05-03,78,"38",1,"65-130"
1.8,0.25,3,2025-05-03,78,"38",1,"65-130"
2.9,0.5,3,2025-05-03,78,"38",1,"65-130"
4.9,0.75,3,2025-05-03,78,"38",1,"65-130"
7.2,0.9,3,2025-05-03,78,"38",1,"65-130"
8.6,0.95,3,2025-05-03,78,"38",1,"65-130"
9.3,0.975,3,2025-05-03,78,"38",1,"65-130"
9.8,0.99,3,2025-05-03,78,"38",1,"65-130"
2.498,0.01,6,2025-05-03,78,"38",1,"0-130"
2.69,0.025,6,2025-05-03,78,"38",1,"0-130"
3.095,0.05,6,2025-05-03,78,"38",1,"0-130"
3.49,0.1,6,2025-05-03,78,"38",1,"0-130"
4.6,0.25,6,2025-05-03,78,"38",1,"0-130"
20.85,0.5,6,2025-05-03,78,"38",1,"0-130"
56.9,0.75,6,2025-05-03,78,"38",1,"0-130"
80.33,0.9,6,2025-05-03,78,"38",1,"0-130"
95.605,0.95,6,2025-05-03,78,"38",1,"0-130"
102.8,0.975,6,2025-05-03,78,"38",1,"0-130"
125.5,0.99,6,2025-05-03,78,"38",1,"0-130"
1.299,0.01,6,2025-05-03,78,"38",1,"0-64"
1.395,0.025,6,2025-05-03,78,"38",1,"0-64"
1.595,0.05,6,2025-05-03,78,"38",1,"0-64"
1.79,0.1,6,2025-05-03,78,"38",1,"0-64"
2.4,0.25,6,2025-05-03,78,"38",1,"0-64"
10.8,0.5,6,2025-05-03,78,"38",1,"0-64"
29.425,0.75,6,2025-05-03,78,"38",1,"0-64"
41.62,0.9,6,2025-05-03,78,"38",1,"0-64"
49.55,0.95,6,2025-05-03,78,"38",1,"0-64"
53.2025,0.975,6,2025-05-03,78,"38",1,"0-64"
65.003,0.99,6,2025-05-03,78,"38",1,"0-64"
1.199,0.01,6,2025-05-03,78,"38",1,"65-130"
1.295,0.025,6,2025-05-03,78,"38",1,"65-130"
1.495,0.05,6,2025-05-03,78,"38",1,"65-130"
1.69,0.1,6,2025-05-03,78,"38",1,"65-130"
2.2,0.25,6,2025-05-03,78,"38",1,"65-130"
10.05,0.5,6,2025-05-03,78,"38",1,"65-130"
27.4,0.75,6,2025-05-03,78,"38",1,"65-130"
38.71,0.9,6,2025-05-03,78,"38",1,"65-130"
46.05,0.95,6,2025-05-03,78,"38",1,"65-130"
49.55,0.975,6,2025-05-03,78,"38",1,"65-130"
60.496,0.99,6,2025-05-03,78,"38",1,"65-130"
3.046,0.01,7,2025-05-03,78,"38",1,"0-130"
3.42375,0.025,7,2025-05-03,78,"38",1,"0-130"
3.6475,0.05,7,2025-05-03,78,"38",1,"0-130"
