"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
9,0.9,33,2025-05-03,77,"19",1,"0-64"
10,0.95,33,2025-05-03,77,"19",1,"0-64"
10,0.975,33,2025-05-03,77,"19",1,"0-64"
10,0.99,33,2025-05-03,77,"19",1,"0-64"
11.99,0.01,33,2025-05-03,77,"19",1,"65-130"
12,0.025,33,2025-05-03,77,"19",1,"65-130"
12,0.05,33,2025-05-03,77,"19",1,"65-130"
13,0.1,33,2025-05-03,77,"19",1,"65-130"
14,0.25,33,2025-05-03,77,"19",1,"65-130"
16,0.5,33,2025-05-03,77,"19",1,"65-130"
17,0.75,33,2025-05-03,77,"19",1,"65-130"
18,0.9,33,2025-05-03,77,"19",1,"65-130"
19,0.95,33,2025-05-03,77,"19",1,"65-130"
20,0.975,33,2025-05-03,77,"19",1,"65-130"
20,0.99,33,2025-05-03,77,"19",1,"65-130"
1.199,0.01,34,2025-05-03,77,"19",1,"0-130"
1.8,0.025,34,2025-05-03,77,"19",1,"0-130"
2.6,0.05,34,2025-05-03,77,"19",1,"0-130"
4.59,0.1,34,2025-05-03,77,"19",1,"0-130"
10.1,0.25,34,2025-05-03,77,"19",1,"0-130"
23.9,0.5,34,2025-05-03,77,"19",1,"0-130"
47.45,0.75,34,2025-05-03,77,"19",1,"0-130"
74.43,0.9,34,2025-05-03,77,"19",1,"0-130"
89.675,0.95,34,2025-05-03,77,"19",1,"0-130"
109.5075,0.975,34,2025-05-03,77,"19",1,"0-130"
121.955,0.99,34,2025-05-03,77,"19",1,"0-130"
0.599,0.01,34,2025-05-03,77,"19",1,"0-64"
0.8,0.025,34,2025-05-03,77,"19",1,"0-64"
1.2,0.05,34,2025-05-03,77,"19",1,"0-64"
2.18,0.1,34,2025-05-03,77,"19",1,"0-64"
4.7,0.25,34,2025-05-03,77,"19",1,"0-64"
10.75,0.5,34,2025-05-03,77,"19",1,"0-64"
21.425,0.75,34,2025-05-03,77,"19",1,"0-64"
33.9,0.9,34,2025-05-03,77,"19",1,"0-64"
40.825,0.95,34,2025-05-03,77,"19",1,"0-64"
48.7875,0.975,34,2025-05-03,77,"19",1,"0-64"
55.112,0.99,34,2025-05-03,77,"19",1,"0-64"
0.6,0.01,34,2025-05-03,77,"19",1,"65-130"
0.9475,0.025,34,2025-05-03,77,"19",1,"65-130"
1.4,0.05,34,2025-05-03,77,"19",1,"65-130"
2.4,0.1,34,2025-05-03,77,"19",1,"65-130"
5.4,0.25,34,2025-05-03,77,"19",1,"65-130"
13.05,0.5,34,2025-05-03,77,"19",1,"65-130"
26.025,0.75,34,2025-05-03,77,"19",1,"65-130"
40.72,0.9,34,2025-05-03,77,"19",1,"65-130"
49.99,0.95,34,2025-05-03,77,"19",1,"65-130"
60.205,0.975,34,2025-05-03,77,"19",1,"65-130"
66.943,0.99,34,2025-05-03,77,"19",1,"65-130"
11,0.01,3,2025-05-03,78,"19",1,"0-130"
12.2,0.025,3,2025-05-03,78,"19",1,"0-130"
12.9,0.05,3,2025-05-03,78,"19",1,"0-130"
13.8,0.1,3,2025-05-03,78,"19",1,"0-130"
19.1,0.25,3,2025-05-03,78,"19",1,"0-130"
26.9,0.5,3,2025-05-03,78,"19",1,"0-130"
41.5,0.75,3,2025-05-03,78,"19",1,"0-130"
55.6,0.9,3,2025-05-03,78,"19",1,"0-130"
76.5,0.95,3,2025-05-03,78,"19",1,"0-130"
89.7,0.975,3,2025-05-03,78,"19",1,"0-130"
95,0.99,3,2025-05-03,78,"19",1,"0-130"
7.2,0.01,3,2025-05-03,78,"19",1,"0-64"
8.3,0.025,3,2025-05-03,78,"19",1,"0-64"
9,0.05,3,2025-05-03,78,"19",1,"0-64"
9.8,0.1,3,2025-05-03,78,"19",1,"0-64"
13.6,0.25,3,2025-05-03,78,"19",1,"0-64"
18.2,0.5,3,2025-05-03,78,"19",1,"0-64"
28.3,0.75,3,2025-05-03,78,"19",1,"0-64"
35.4,0.9,3,2025-05-03,78,"19",1,"0-64"
46.6,0.95,3,2025-05-03,78,"19",1,"0-64"
53.9,0.975,3,2025-05-03,78,"19",1,"0-64"
57.3,0.99,3,2025-05-03,78,"19",1,"0-64"
3.3,0.01,3,2025-05-03,78,"19",1,"65-130"
3.7,0.025,3,2025-05-03,78,"19",1,"65-130"
3.9,0.05,3,2025-05-03,78,"19",1,"65-130"
4.1,0.1,3,2025-05-03,78,"19",1,"65-130"
5.6,0.25,3,2025-05-03,78,"19",1,"65-130"
8.6,0.5,3,2025-05-03,78,"19",1,"65-130"
12.7,0.75,3,2025-05-03,78,"19",1,"65-130"
21.3,0.9,3,2025-05-03,78,"19",1,"65-130"
28.5,0.95,3,2025-05-03,78,"19",1,"65-130"
35.7,0.975,3,2025-05-03,78,"19",1,"65-130"
37.7,0.99,3,2025-05-03,78,"19",1,"65-130"
10.799,0.01,6,2025-05-03,78,"19",1,"0-130"
11.185,0.025,6,2025-05-03,78,"19",1,"0-130"
12.17,0.05,6,2025-05-03,78,"19",1,"0-130"
13.09,0.1,6,2025-05-03,78,"19",1,"0-130"
16.5,0.25,6,2025-05-03,78,"19",1,"0-130"
129.75,0.5,6,2025-05-03,78,"19",1,"0-130"
245.825,0.75,6,2025-05-03,78,"19",1,"0-130"
359.11,0.9,6,2025-05-03,78,"19",1,"0-130"
648.22,0.95,6,2025-05-03,78,"19",1,"0-130"
768.135,0.975,6,2025-05-03,78,"19",1,"0-130"
789.043,0.99,6,2025-05-03,78,"19",1,"0-130"
5.3,0.01,6,2025-05-03,78,"19",1,"0-64"
5.5425,0.025,6,2025-05-03,78,"19",1,"0-64"
5.985,0.05,6,2025-05-03,78,"19",1,"0-64"
6.4,0.1,6,2025-05-03,78,"19",1,"0-64"
8.15,0.25,6,2025-05-03,78,"19",1,"0-64"
64,0.5,6,2025-05-03,78,"19",1,"0-64"
121.25,0.75,6,2025-05-03,78,"19",1,"0-64"
177.17,0.9,6,2025-05-03,78,"19",1,"0-64"
319.81,0.95,6,2025-05-03,78,"19",1,"0-64"
378.9675,0.975,6,2025-05-03,78,"19",1,"0-64"
389.253,0.99,6,2025-05-03,78,"19",1,"0-64"
5.499,0.01,6,2025-05-03,78,"19",1,"65-130"
5.6425,0.025,6,2025-05-03,78,"19",1,"65-130"
6.185,0.05,6,2025-05-03,78,"19",1,"65-130"
6.6,0.1,6,2025-05-03,78,"19",1,"65-130"
8.35,0.25,6,2025-05-03,78,"19",1,"65-130"
65.75,0.5,6,2025-05-03,78,"19",1,"65-130"
124.575,0.75,6,2025-05-03,78,"19",1,"65-130"
181.94,0.9,6,2025-05-03,78,"19",1,"65-130"
328.415,0.95,6,2025-05-03,78,"19",1,"65-130"
389.1725,0.975,6,2025-05-03,78,"19",1,"65-130"
399.79,0.99,6,2025-05-03,78,"19",1,"65-130"
10.8995,0.01,7,2025-05-03,78,"19",1,"0-130"
11.6925,0.025,7,2025-05-03,78,"19",1,"0-130"
12.535,0.05,7,2025-05-03,78,"19",1,"0-130"
13.65,0.1,7,2025-05-03,78,"19",1,"0-130"
19.55,0.25,7,2025-05-03,78,"19",1,"0-130"
25.45,0.5,7,2025-05-03,78,"19",1,"0-130"
36.7,0.75,7,2025-05-03,78,"19",1,"0-130"
45.16,0.9,7,2025-05-03,78,"19",1,"0-130"
56.3125,0.95,7,2025-05-03,78,"19",1,"0-130"
64.1375,0.975,7,2025-05-03,78,"19",1,"0-130"
69,0.99,7,2025-05-03,78,"19",1,"0-130"
1.798,0.01,7,2025-05-03,78,"19",1,"0-64"
2.45,0.025,7,2025-05-03,78,"19",1,"0-64"
2.8,0.05,7,2025-05-03,78,"19",1,"0-64"
3.84,0.1,7,2025-05-03,78,"19",1,"0-64"
6,0.25,7,2025-05-03,78,"19",1,"0-64"
9.225,0.5,7,2025-05-03,78,"19",1,"0-64"
13.2,0.75,7,2025-05-03,78,"19",1,"0-64"
19.41,0.9,7,2025-05-03,78,"19",1,"0-64"
23.12,0.95,7,2025-05-03,78,"19",1,"0-64"
25.265,0.975,7,2025-05-03,78,"19",1,"0-64"
30.911,0.99,7,2025-05-03,78,"19",1,"0-64"
4.9445,0.01,7,2025-05-03,78,"19",1,"65-130"
5.39375,0.025,7,2025-05-03,78,"19",1,"65-130"
6.5875,0.05,7,2025-05-03,78,"19",1,"65-130"
8.25,0.1,7,2025-05-03,78,"19",1,"65-130"
10.675,0.25,7,2025-05-03,78,"19",1,"65-130"
15.5,0.5,7,2025-05-03,78,"19",1,"65-130"
22.0625,0.75,7,2025-05-03,78,"19",1,"65-130"
28.36,0.9,7,2025-05-03,78,"19",1,"65-130"
32.3125,0.95,7,2025-05-03,78,"19",1,"65-130"
